task_id,participant,recording_public_id,module,window,contrast,positive_label,negative_label,n,n_positive,n_negative,n_splits,accuracy,balanced_accuracy,ba_ci_low,ba_ci_high,permutation_mean_balanced_accuracy,permutation_p_value,p_source,n_permutations,n_bootstrap,lobo_feasible,lobo_balanced_accuracy,lobo_ba_ci_low,lobo_ba_ci_high,lobo_n,lobo_n_positive,lobo_n_negative,lobo_valid_blocks,lobo_skipped_blocks
auditory_subjective_relevance__Participante 1__audio2,Participante 1,P01_run01_full,audio2,p300_250_600,subjective_relevant_hit_vs_standard,objetivo_subjetivo_relevante_con_respuesta,estandar_no_objetivo_estricto,1329,87,1242,5,0.5733634311512416,0.5045116330723527,0.4535926481203842,0.5591648620134377,0.4996163501582541,0.4568543145685431,computed,10000,5000,True,0.5261813537675606,0.4729579654617136,0.5797396440668554,1329,87,1242,"1,2,3,4",
auditory_subjective_relevance__Participante 1__audio4,Participante 1,P01_run01_full,audio4,p300_250_600,subjective_relevant_hit_vs_standard,objetivo_subjetivo_relevante_con_respuesta,estandar_no_objetivo_estricto,854,23,831,5,0.711943793911007,0.5983362109558938,0.4932205828493695,0.7034367969444878,0.5009800659237168,0.0634936506349365,computed,10000,5000,True,0.556061319520745,0.454662402553236,0.6647569716946581,854,23,831,"1,2,3,4",
auditory_subjective_relevance__Participante 2__audio2,Participante 2,P02_run01_visual_audio2,audio2,p300_250_600,subjective_relevant_hit_vs_standard,objetivo_subjetivo_relevante_con_respuesta,estandar_no_objetivo_estricto,1031,52,979,5,0.5567410281280311,0.5480867447159582,0.4781286831146382,0.6174395478117388,0.4999297379586706,0.1322867713228677,computed,10000,5000,True,0.5335408973049423,0.4636773689793352,0.6009369843639507,1031,52,979,"1,2,3,4",
auditory_subjective_relevance__Participante 2__audio4,Participante 2,P02_run02_audio4,audio4,p300_250_600,subjective_relevant_hit_vs_standard,objetivo_subjetivo_relevante_con_respuesta,estandar_no_objetivo_estricto,875,40,835,5,0.6685714285714286,0.5288173652694611,0.4526197604790419,0.6061395958083832,0.4997394386227544,0.274972502749725,computed,10000,5000,True,0.5330089820359282,0.4562107035928143,0.6091336077844312,875,40,835,"1,2,3,4",
auditory_subjective_relevance__Participante con NAION__audio2,Participante con NAION,P03_run02_audio_repeat,audio2,p300_250_600,subjective_relevant_hit_vs_standard,objetivo_subjetivo_relevante_con_respuesta,estandar_no_objetivo_estricto,1289,50,1239,5,0.6516679596586501,0.607683615819209,0.5377701775625505,0.6744552058111379,0.5003499096045197,0.0055994400559944,computed,10000,5000,True,0.6300161420500403,0.5603309120258273,0.6981838175948344,1289,50,1239,"1,2,3,4",
auditory_subjective_relevance__Participante con NAION__audio4,Participante con NAION,P03_run02_audio_repeat,audio4,p300_250_600,subjective_relevant_hit_vs_standard,objetivo_subjetivo_relevante_con_respuesta,estandar_no_objetivo_estricto,846,17,829,5,0.7884160756501182,0.7768040871354573,0.666982721918683,0.8692613354147449,0.4994231994607252,9.999000099990002e-05,computed,10000,5000,True,0.783438586532321,0.6766329028595757,0.8752926985028028,846,17,829,"1,2,3,4",
