participant,visual_ba,visual_ci,visual_p,audio2_main_ba,audio2_main_ci,audio2_main_p,audio2_secondary_ba,audio2_secondary_ci,audio2_secondary_p,audio4_main_ba,audio4_main_ci,audio4_main_p,audio4_secondary_ba,audio4_secondary_ci,audio4_secondary_p
Participante 1,0.2638888888888889,0.118-0.413,0.983001699830017,0.533666237113402,0.466-0.606,0.2356764323567643,0.4895078502415459,0.431-0.547,0.6217378262173783,0.5516831683168317,0.442-0.657,0.2475752424757524,0.6338748495788207,0.480-0.787,0.0702929707029297
Participante 2,0.3842105263157894,0.230-0.538,0.8819118088191181,0.474025974025974,0.396-0.552,0.7255274472552745,0.5480867447159582,0.478-0.617,0.1341865813418658,0.5642857142857143,0.472-0.658,0.1388861113888611,0.5370259481037924,0.447-0.626,0.2561743825617438
Participante con NAION,0.5723981900452488,0.396-0.747,0.2840715928407159,0.5374331550802138,0.472-0.603,0.2023797620237976,0.607683615819209,0.538-0.674,0.0063993600639936,0.5205432937181663,0.424-0.622,0.4058594140585941,0.7314032971451547,0.597-0.859,0.001999800019998
